nom_ree;ear_data;ear_max_ree;ear_verif_ree_mwmes;ear_verif_ree_percentual
MANAUS-AMAPA;2020-02-07;776.495;163.687;21.0802
NORDESTE;2020-02-07;51602.071;24329.995;47.1493
NORTE;2020-02-07;14361.117;3510.49;24.4444
PARANA;2020-02-07;140228.485;37835.363;26.9812
PARANAPANEMA;2020-02-07;11833.214;3969.814;33.5481
SUDESTE;2020-02-07;50313.666;12606.854;25.0565
SUL;2020-02-07;9447.43;2946.056;31.1837
TELES PIRES;2020-02-07;875.144;744.679;85.0922
BELO MONTE;2020-02-08;27.275;8.243;30.2218
IGUACU;2020-02-08;10449.617;1616.195;15.4665
MADEIRA;2020-02-08;316.575;168.076;53.092
MANAUS-AMAPA;2020-02-08;776.495;163.175;21.0143
NORDESTE;2020-02-08;51602.071;24805.847;48.0714
NORTE;2020-02-08;14361.117;3620.691;25.2118
PARANA;2020-02-08;140228.485;38948.828;27.7753
PARANAPANEMA;2020-02-08;11833.214;4011.943;33.9041
SUDESTE;2020-02-08;50313.666;12799.613;25.4396
SUL;2020-02-08;9447.43;2932.937;31.0448
TELES PIRES;2020-02-08;875.144;732.208;83.6671
BELO MONTE;2020-02-09;27.275;8.415;30.8524
IGUACU;2020-02-09;10449.617;1634.145;15.6383
MADEIRA;2020-02-09;316.575;177.756;56.1497
MANAUS-AMAPA;2020-02-09;776.495;162.153;20.8827
NORDESTE;2020-02-09;51602.071;25155.002;48.748
NORTE;2020-02-09;14361.117;3802.482;26.4776
PARANA;2020-02-09;140228.485;40114.597;28.6066
PARANAPANEMA;2020-02-09;11833.214;4057.167;34.2863
SUDESTE;2020-02-09;50313.666;13041.629;25.9206
SUL;2020-02-09;9447.43;2921.045;30.9189
TELES PIRES;2020-02-09;875.144;718.043;82.0486
BELO MONTE;2020-02-10;27.275;8.625;31.6224
IGUACU;2020-02-10;10449.617;1628.719;15.5864
MADEIRA;2020-02-10;316.575;183.088;57.834
MANAUS-AMAPA;2020-02-10;776.495;161.131;20.7511
NORDESTE;2020-02-10;51602.071;25479.708;49.3773
NORTE;2020-02-10;14361.117;3918.121;27.2828
PARANA;2020-02-10;140228.485;40850.582;29.1314
PARANAPANEMA;2020-02-10;11833.214;4092.122;34.5817
SUDESTE;2020-02-10;50313.666;13363.176;26.5597
SUL;2020-02-10;9447.43;2890.954;30.6004
TELES PIRES;2020-02-10;875.144;707.382;80.8304
BELO MONTE;2020-02-11;27.275;8.872;32.528
IGUACU;2020-02-11;10449.617;1650.673;15.7965
MADEIRA;2020-02-11;316.575;187.332;59.1746
MANAUS-AMAPA;2020-02-11;776.495;160.109;20.6195
NORDESTE;2020-02-11;51602.071;25804.066;50.0059
NORTE;2020-02-11;14361.117;4081.621;28.4213
PARANA;2020-02-11;140228.485;41940.105;29.9084
PARANAPANEMA;2020-02-11;11833.214;4131.193;34.9118
SUDESTE;2020-02-11;50313.666;13618.448;27.0671
SUL;2020-02-11;9447.43;2858.166;30.2534
TELES PIRES;2020-02-11;875.144;700.309;80.0221
BELO MONTE;2020-02-12;27.275;9.159;33.5802
IGUACU;2020-02-12;10449.617;1660.725;15.8927
MADEIRA;2020-02-12;316.575;191.636;60.5342
MANAUS-AMAPA;2020-02-12;776.495;158.577;20.4222
NORDESTE;2020-02-12;51602.071;26182.987;50.7402
NORTE;2020-02-12;14361.117;4238.386;29.5129
PARANA;2020-02-12;140228.485;43035.837;30.6898
PARANAPANEMA;2020-02-12;11833.214;4160.21;35.1571
SUDESTE;2020-02-12;50313.666;13844.194;27.5158
SUL;2020-02-12;9447.43;2832.615;29.9829
TELES PIRES;2020-02-12;875.144;706.218;80.6973
BELO MONTE;2020-02-13;27.275;9.485;34.7754
IGUACU;2020-02-13;10449.617;1666.076;15.9439
MADEIRA;2020-02-13;316.575;195.507;61.7569
MANAUS-AMAPA;2020-02-13;776.495;157.045;20.2249
NORDESTE;2020-02-13;51602.071;26502.825;51.36
NORTE;2020-02-13;14361.117;4375.907;30.4705
PARANA;2020-02-13;140228.485;44211.715;31.5283
PARANAPANEMA;2020-02-13;11833.214;4193.617;35.4394
SUDESTE;2020-02-13;50313.666;13981.814;27.7893
SUL;2020-02-13;9447.43;2800.536;29.6434
TELES PIRES;2020-02-13;875.144;708.546;80.9634
BELO MONTE;2020-02-14;27.275;9.784;35.8717
IGUACU;2020-02-14;10449.617;1651.878;15.808
MADEIRA;2020-02-14;316.575;200.344;63.2848
MANAUS-AMAPA;2020-02-14;776.495;155.515;20.0278
